"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2025-01-01 00:03:53+08:00",2.0,741.01,1.72,10.54,0.4,1.09,19.46,21.53,6.97,124.6764,6.6925,"2025-01-01 00:03:53.969451+08:00","Tacurong"
"2025-01-01 00:03:56+08:00",1.0,287.06,0.0,10.97,30.04,9.66,4.38,7.6,1.14,120.9337,14.1059,"2025-01-01 00:03:56.605289+08:00","Tagaytay City"
"2025-01-01 00:03:58+08:00",3.0,1695.63,26.6,34.62,0.0,24.56,44.61,65.54,5.76,121.0792,14.5243,"2025-01-01 00:03:58.947657+08:00","Taguig"
"2025-01-01 00:04:00+08:00",1.0,210.29,0.0,0.49,39.7,0.2,2.11,2.95,0.14,122.9226,14.1343,"2025-01-01 00:04:00.742481+08:00","Talisay"
"2025-01-01 00:04:02+08:00",1.0,287.06,0.0,8.91,30.76,7.21,3.44,7.32,1.65,121.1498,14.0863,"2025-01-01 00:04:02.617702+08:00","Tanauan"
"2025-01-01 00:04:04+08:00",1.0,253.68,0.0,2.51,12.88,0.56,2.46,3.14,2.82,126.1986,9.0783,"2025-01-01 00:04:04.894299+08:00","Tandag"
"2025-01-01 00:04:06+08:00",1.0,223.64,0.0,1.5,37.55,0.95,3.79,4.56,0.36,122.9306,10.6339,"2025-01-01 00:04:06.357546+08:00","Tangub"
"2025-01-01 00:04:08+08:00",1.0,263.69,0.0,2.74,29.33,0.51,7.08,7.66,1.54,123.1583,9.5153,"2025-01-01 00:04:08.877590+08:00","Tanjay"
"2025-01-01 00:04:11+08:00",2.0,587.46,0.01,13.02,23.25,1.52,13.22,17.28,4.88,120.5986,15.4889,"2025-01-01 00:04:11.191927+08:00","Tarlac City"
"2025-01-01 00:04:12+08:00",1.0,220.3,0.0,1.76,35.41,1.0,1.67,2.92,0.67,121.5911,14.0289,"2025-01-01 00:04:13.083928+08:00","Tayabas"
"2025-01-01 00:04:15+08:00",1.0,223.64,0.0,1.91,37.19,0.79,3.35,4.5,1.41,123.6333,10.3833,"2025-01-01 00:04:15.634495+08:00","Toledo City"
"2025-01-01 00:04:17+08:00",1.0,320.44,0.0,2.49,38.98,0.29,7.7,8.73,1.36,121.7269,17.6131,"2025-01-01 00:04:17.718955+08:00","Tuguegarao"
"2025-01-01 00:04:19+08:00",2.0,734.33,0.01,23.31,21.99,2.92,17.79,22.22,5.26,120.5711,15.9761,"2025-01-01 00:04:19.171210+08:00","Urdaneta"
